xmin,ymin,xmax,ymax,label,score,geometry
181.0,196.0,204.0,217.0,Tree,0.5159581303596497,"POLYGON ((204 196, 204 217, 181 217, 181 196, 204 196))"
300.0,400.0,329.0,423.0,Tree,0.49779704213142395,"POLYGON ((329 400, 329 423, 300 423, 300 400, 329 400))"
474.0,346.0,496.0,367.0,Tree,0.4961458742618561,"POLYGON ((496 346, 496 367, 474 367, 474 346, 496 346))"
74.0,214.0,92.0,233.0,Tree,0.47426843643188477,"POLYGON ((92 214, 92 233, 74 233, 74 214, 92 214))"
38.0,425.0,64.0,449.0,Tree,0.4604793190956116,"POLYGON ((64 425, 64 449, 38 449, 38 425, 64 425))"
138.0,208.0,161.0,231.0,Tree,0.4479596018791199,"POLYGON ((161 208, 161 231, 138 231, 138 208, 161 208))"
471.0,133.0,496.0,155.0,Tree,0.434550017118454,"POLYGON ((496 133, 496 155, 471 155, 471 133, 496 133))"
354.0,356.0,381.0,378.0,Tree,0.4295790195465088,"POLYGON ((381 356, 381 378, 354 378, 354 356, 381 356))"
417.0,177.0,442.0,198.0,Tree,0.42837387323379517,"POLYGON ((442 177, 442 198, 417 198, 417 177, 442 177))"
417.0,387.0,444.0,413.0,Tree,0.4105534255504608,"POLYGON ((444 387, 444 413, 417 413, 417 387, 444 387))"
112.0,73.0,145.0,105.0,Tree,0.3970852196216583,"POLYGON ((145 73, 145 105, 112 105, 112 73, 145 73))"
408.0,307.0,435.0,334.0,Tree,0.36572715640068054,"POLYGON ((435 307, 435 334, 408 334, 408 307, 435 307))"
206.0,460.0,234.0,468.0,Tree,0.3542950749397278,"POLYGON ((234 460, 234 468, 206 468, 206 460, 234 460))"
322.0,442.0,345.0,463.0,Tree,0.3460823893547058,"POLYGON ((345 442, 345 463, 322 463, 322 442, 345 442))"
132.0,250.0,150.0,267.0,Tree,0.3256184756755829,"POLYGON ((150 250, 150 267, 132 267, 132 250, 150 250))"
196.0,374.0,218.0,391.0,Tree,0.31904396414756775,"POLYGON ((218 374, 218 391, 196 391, 196 374, 218 374))"
452.0,6.0,474.0,30.0,Tree,0.31695738434791565,"POLYGON ((474 6, 474 30, 452 30, 452 6, 474 6))"
65.0,128.0,84.0,146.0,Tree,0.2948678731918335,"POLYGON ((84 128, 84 146, 65 146, 65 128, 84 128))"
224.0,283.0,252.0,307.0,Tree,0.28406503796577454,"POLYGON ((252 283, 252 307, 224 307, 224 283, 252 283))"
435.0,345.0,461.0,370.0,Tree,0.2789866626262665,"POLYGON ((461 345, 461 370, 435 370, 435 345, 461 345))"
423.0,45.0,452.0,75.0,Tree,0.26792553067207336,"POLYGON ((452 45, 452 75, 423 75, 423 45, 452 45))"
166.0,460.0,198.0,468.0,Tree,0.2666262984275818,"POLYGON ((198 460, 198 468, 166 468, 166 460, 198 460))"
427.0,261.0,460.0,291.0,Tree,0.26631540060043335,"POLYGON ((460 261, 460 291, 427 291, 427 261, 460 261))"
93.0,257.0,112.0,276.0,Tree,0.2560350000858307,"POLYGON ((112 257, 112 276, 93 276, 93 257, 112 257))"
284.0,234.0,306.0,255.0,Tree,0.25065359473228455,"POLYGON ((306 234, 306 255, 284 255, 284 234, 306 234))"
409.0,98.0,427.0,116.0,Tree,0.24518389999866486,"POLYGON ((427 98, 427 116, 409 116, 409 98, 427 98))"
326.0,232.0,347.0,249.0,Tree,0.23884736001491547,"POLYGON ((347 232, 347 249, 326 249, 326 232, 347 232))"
101.0,335.0,122.0,354.0,Tree,0.2377995103597641,"POLYGON ((122 335, 122 354, 101 354, 101 335, 122 335))"
305.0,281.0,326.0,300.0,Tree,0.2365974485874176,"POLYGON ((326 281, 326 300, 305 300, 305 281, 326 281))"
327.0,99.0,356.0,125.0,Tree,0.23639608919620514,"POLYGON ((356 99, 356 125, 327 125, 327 99, 356 99))"
253.0,113.0,270.0,131.0,Tree,0.22343981266021729,"POLYGON ((270 113, 270 131, 253 131, 253 113, 270 113))"
459.0,179.0,476.0,196.0,Tree,0.22228668630123138,"POLYGON ((476 179, 476 196, 459 196, 459 179, 476 179))"
450.0,90.0,476.0,114.0,Tree,0.2177337259054184,"POLYGON ((476 90, 476 114, 450 114, 450 90, 476 90))"
87.0,31.0,118.0,61.0,Tree,0.2139693647623062,"POLYGON ((118 31, 118 61, 87 61, 87 31, 118 31))"
374.0,186.0,394.0,205.0,Tree,0.21365991234779358,"POLYGON ((394 186, 394 205, 374 205, 374 186, 394 186))"
425.0,81.0,448.0,96.0,Tree,0.21337878704071045,"POLYGON ((448 81, 448 96, 425 96, 425 81, 448 81))"
453.0,386.0,485.0,417.0,Tree,0.12136026471853256,"POLYGON ((485 386, 485 417, 453 417, 453 386, 485 386))"
378.0,49.0,412.0,81.0,Tree,0.11400982737541199,"POLYGON ((412 49, 412 81, 378 81, 378 49, 412 49))"
