xmin,ymin,xmax,ymax,label,score,geometry
642.0,689.0,733.0,793.0,Tree,0.5567034482955933,"POLYGON ((733 689, 733 793, 642 793, 642 689, 733 689))"
118.0,694.0,193.0,774.0,Tree,0.3145959973335266,"POLYGON ((193 694, 193 774, 118 774, 118 694, 193 694))"
207.0,691.0,245.0,731.0,Tree,0.2656666040420532,"POLYGON ((245 691, 245 731, 207 731, 207 691, 245 691))"
668.0,58.0,736.0,129.0,Tree,0.2506118416786194,"POLYGON ((736 58, 736 129, 668 129, 668 58, 736 58))"
480.0,803.0,519.0,841.0,Tree,0.22820362448692322,"POLYGON ((519 803, 519 841, 480 841, 480 803, 519 803))"
534.0,699.0,587.0,739.0,Tree,0.21406027674674988,"POLYGON ((587 699, 587 739, 534 739, 534 699, 587 699))"
0.0,399.0,21.0,442.0,Tree,0.21193552017211914,"POLYGON ((21 399, 21 442, 0 442, 0 399, 21 399))"
171.0,777.0,219.0,824.0,Tree,0.2039441168308258,"POLYGON ((219 777, 219 824, 171 824, 171 777, 219 777))"
733.0,83.0,790.0,142.0,Tree,0.20349769294261932,"POLYGON ((790 83, 790 142, 733 142, 733 83, 790 83))"
173.0,488.0,232.0,538.0,Tree,0.2012973129749298,"POLYGON ((232 488, 232 538, 173 538, 173 488, 232 488))"
369.0,0.0,445.0,43.0,Tree,0.17987313866615295,"POLYGON ((445 0, 445 43, 369 43, 369 0, 445 0))"
572.0,0.0,656.0,39.0,Tree,0.17934058606624603,"POLYGON ((656 0, 656 39, 572 39, 572 0, 656 0))"
101.0,835.0,142.0,874.0,Tree,0.17530876398086548,"POLYGON ((142 835, 142 874, 101 874, 101 835, 142 835))"
94.0,98.0,129.0,131.0,Tree,0.17403851449489594,"POLYGON ((129 98, 129 131, 94 131, 94 98, 129 98))"
391.0,814.0,429.0,850.0,Tree,0.1702008694410324,"POLYGON ((429 814, 429 850, 391 850, 391 814, 429 814))"
707.0,153.0,758.0,205.0,Tree,0.16405171155929565,"POLYGON ((758 153, 758 205, 707 205, 707 153, 758 153))"
120.0,668.0,161.0,703.0,Tree,0.16359584033489227,"POLYGON ((161 668, 161 703, 120 703, 120 668, 161 668))"
1.0,851.0,38.0,888.0,Tree,0.16102688014507294,"POLYGON ((38 851, 38 888, 1 888, 1 851, 38 851))"
504.0,455.0,562.0,500.0,Tree,0.1600315272808075,"POLYGON ((562 455, 562 500, 504 500, 504 455, 562 455))"
250.0,470.0,318.0,529.0,Tree,0.158327117562294,"POLYGON ((318 470, 318 529, 250 529, 250 470, 318 470))"
148.0,836.0,188.0,872.0,Tree,0.15807153284549713,"POLYGON ((188 836, 188 872, 148 872, 148 836, 188 836))"
321.0,0.0,373.0,18.0,Tree,0.1540144830942154,"POLYGON ((373 0, 373 18, 321 18, 321 0, 373 0))"
253.0,49.0,293.0,85.0,Tree,0.1493091881275177,"POLYGON ((293 49, 293 85, 253 85, 253 49, 293 49))"
616.0,525.0,659.0,564.0,Tree,0.13945963978767395,"POLYGON ((659 525, 659 564, 616 564, 616 525, 659 525))"
328.0,919.0,389.0,938.0,Tree,0.13400761783123016,"POLYGON ((389 919, 389 938, 328 938, 328 919, 389 919))"
628.0,139.0,688.0,202.0,Tree,0.12771104276180267,"POLYGON ((688 139, 688 202, 628 202, 628 139, 688 139))"
264.0,919.0,333.0,938.0,Tree,0.1269748955965042,"POLYGON ((333 919, 333 938, 264 938, 264 919, 333 919))"
419.0,724.0,460.0,758.0,Tree,0.12078459560871124,"POLYGON ((460 724, 460 758, 419 758, 419 724, 460 724))"
