xmin,ymin,xmax,ymax,label,score,geometry
601.0,802.0,661.0,848.0,Tree,0.3880077600479126,"POLYGON ((661 802, 661 848, 601 848, 601 802, 661 802))"
148.0,429.0,186.0,466.0,Tree,0.3706686794757843,"POLYGON ((186 429, 186 466, 148 466, 148 429, 186 429))"
948.0,695.0,991.0,736.0,Tree,0.33842745423316956,"POLYGON ((991 695, 991 736, 948 736, 948 695, 991 695))"
363.0,395.0,408.0,436.0,Tree,0.2854308485984802,"POLYGON ((408 395, 408 436, 363 436, 363 395, 408 395))"
835.0,355.0,886.0,396.0,Tree,0.2777128219604492,"POLYGON ((886 355, 886 396, 835 396, 835 355, 886 355))"
224.0,149.0,293.0,212.0,Tree,0.24321052432060242,"POLYGON ((293 149, 293 212, 224 212, 224 149, 293 149))"
275.0,417.0,321.0,463.0,Tree,0.24132075905799866,"POLYGON ((321 417, 321 463, 275 463, 275 417, 321 417))"
815.0,615.0,873.0,671.0,Tree,0.23386253416538239,"POLYGON ((873 615, 873 671, 815 671, 815 615, 873 615))"
834.0,775.0,888.0,826.0,Tree,0.22162529826164246,"POLYGON ((888 775, 888 826, 834 826, 834 775, 888 775))"
77.0,852.0,129.0,898.0,Tree,0.21269835531711578,"POLYGON ((129 852, 129 898, 77 898, 77 852, 129 852))"
708.0,713.0,762.0,757.0,Tree,0.2119927853345871,"POLYGON ((762 713, 762 757, 708 757, 708 713, 762 713))"
643.0,886.0,691.0,929.0,Tree,0.19548921287059784,"POLYGON ((691 886, 691 929, 643 929, 643 886, 691 886))"
905.0,13.0,951.0,59.0,Tree,0.19110001623630524,"POLYGON ((951 13, 951 59, 905 59, 905 13, 951 13))"
943.0,268.0,995.0,310.0,Tree,0.1897478550672531,"POLYGON ((995 268, 995 310, 943 310, 943 268, 995 268))"
413.0,922.0,471.0,937.0,Tree,0.18821930885314941,"POLYGON ((471 922, 471 937, 413 937, 413 922, 471 922))"
845.0,91.0,906.0,150.0,Tree,0.18735851347446442,"POLYGON ((906 91, 906 150, 845 150, 845 91, 906 91))"
866.0,691.0,922.0,746.0,Tree,0.17398521304130554,"POLYGON ((922 691, 922 746, 866 746, 866 691, 922 691))"
853.0,524.0,923.0,585.0,Tree,0.1633584350347519,"POLYGON ((923 524, 923 585, 853 585, 853 524, 923 524))"
449.0,566.0,507.0,616.0,Tree,0.1613999754190445,"POLYGON ((507 566, 507 616, 449 616, 449 566, 507 566))"
130.0,261.0,165.0,294.0,Tree,0.15837785601615906,"POLYGON ((165 261, 165 294, 130 294, 130 261, 165 261))"
392.0,748.0,435.0,784.0,Tree,0.15498404204845428,"POLYGON ((435 748, 435 784, 392 784, 392 748, 435 748))"
172.0,62.0,237.0,123.0,Tree,0.15319706499576569,"POLYGON ((237 62, 237 123, 172 123, 172 62, 237 62))"
506.0,226.0,542.0,264.0,Tree,0.15084297955036163,"POLYGON ((542 226, 542 264, 506 264, 506 226, 542 226))"
906.0,774.0,970.0,834.0,Tree,0.1491614431142807,"POLYGON ((970 774, 970 834, 906 834, 906 774, 970 774))"
144.0,504.0,209.0,562.0,Tree,0.13814863562583923,"POLYGON ((209 504, 209 562, 144 562, 144 504, 209 504))"
889.0,178.0,951.0,233.0,Tree,0.13479730486869812,"POLYGON ((951 178, 951 233, 889 233, 889 178, 951 178))"
266.0,501.0,301.0,535.0,Tree,0.13377070426940918,"POLYGON ((301 501, 301 535, 266 535, 266 501, 301 501))"
642.0,0.0,728.0,10.0,Tree,0.13301686942577362,"POLYGON ((728 0, 728 10, 642 10, 642 0, 728 0))"
732.0,0.0,806.0,11.0,Tree,0.13002391159534454,"POLYGON ((806 0, 806 11, 732 11, 732 0, 806 0))"
