xmin,ymin,xmax,ymax,label,score,geometry
322.0,343.0,365.0,397.0,Tree,0.5277003645896912,"POLYGON ((365 343, 365 397, 322 397, 322 343, 365 343))"
59.0,346.0,95.0,385.0,Tree,0.4747018814086914,"POLYGON ((95 346, 95 385, 59 385, 59 346, 95 346))"
253.0,227.0,280.0,249.0,Tree,0.35034361481666565,"POLYGON ((280 227, 280 249, 253 249, 253 227, 280 227))"
86.0,388.0,108.0,410.0,Tree,0.3483765721321106,"POLYGON ((108 388, 108 410, 86 410, 86 388, 108 388))"
88.0,244.0,114.0,268.0,Tree,0.3337988257408142,"POLYGON ((114 244, 114 268, 88 268, 88 244, 114 244))"
240.0,401.0,259.0,420.0,Tree,0.3106301426887512,"POLYGON ((259 401, 259 420, 240 420, 240 401, 259 401))"
74.0,417.0,94.0,435.0,Tree,0.3057653307914734,"POLYGON ((94 417, 94 435, 74 435, 74 417, 94 417))"
333.0,29.0,366.0,64.0,Tree,0.30474352836608887,"POLYGON ((366 29, 366 64, 333 64, 333 29, 366 29))"
134.0,457.0,163.0,468.0,Tree,0.303266704082489,"POLYGON ((163 457, 163 468, 134 468, 134 457, 163 457))"
366.0,41.0,394.0,70.0,Tree,0.30154842138290405,"POLYGON ((394 41, 394 70, 366 70, 366 41, 394 41))"
103.0,345.0,122.0,365.0,Tree,0.3006337881088257,"POLYGON ((122 345, 122 365, 103 365, 103 345, 122 345))"
