xmin,ymin,xmax,ymax,label,score,geometry
601.0,802.0,661.0,848.0,Tree,0.3880077600479126,"POLYGON ((661 802, 661 848, 601 848, 601 802, 661 802))"
148.0,429.0,186.0,466.0,Tree,0.3706686794757843,"POLYGON ((186 429, 186 466, 148 466, 148 429, 186 429))"
948.0,695.0,991.0,736.0,Tree,0.33842745423316956,"POLYGON ((991 695, 991 736, 948 736, 948 695, 991 695))"
