xmin,ymin,xmax,ymax,label,score,geometry
1257.0,2226.0,2133.0,3165.0,Tree,0.15329083800315857,"POLYGON ((2133 2226, 2133 3165, 1257 3165, 1257 2226, 2133 2226))"
1209.0,273.0,1786.0,959.0,Tree,0.13840536773204803,"POLYGON ((1786 273, 1786 959, 1209 959, 1209 273, 1786 273))"
2670.0,1516.0,3710.0,2594.0,Tree,0.12531641125679016,"POLYGON ((3710 1516, 3710 2594, 2670 2594, 2670 1516, 3710 1516))"
1782.0,3056.0,2283.0,3567.0,Tree,0.11266731470823288,"POLYGON ((2283 3056, 2283 3567, 1782 3567, 1782 3056, 2283 3056))"
2715.0,2871.0,3723.0,3825.0,Tree,0.10725118964910507,"POLYGON ((3723 2871, 3723 3825, 2715 3825, 2715 2871, 3723 2871))"
1284.0,5.0,1744.0,315.0,Tree,0.10614009201526642,"POLYGON ((1744 5, 1744 315, 1284 315, 1284 5, 1744 5))"
2407.0,2829.0,2832.0,3310.0,Tree,0.10290258377790451,"POLYGON ((2832 2829, 2832 3310, 2407 3310, 2407 2829, 2832 2829))"
