xmin,ymin,xmax,ymax,label,score,geometry
1813.0,5.0,2067.0,225.0,Tree,0.14805950224399567,"POLYGON ((2067 5, 2067 225, 1813 225, 1813 5, 2067 5))"
1425.0,14.0,1598.0,164.0,Tree,0.14218354225158691,"POLYGON ((1598 14, 1598 164, 1425 164, 1425 14, 1598 14))"
476.0,8.0,892.0,309.0,Tree,0.11701086163520813,"POLYGON ((892 8, 892 309, 476 309, 476 8, 892 8))"
322.0,112.0,487.0,262.0,Tree,0.1161559522151947,"POLYGON ((487 112, 487 262, 322 262, 322 112, 487 112))"
1192.0,1602.0,1327.0,1717.0,Tree,0.11419025808572769,"POLYGON ((1327 1602, 1327 1717, 1192 1717, 1192 1602, 1327 1602))"
1664.0,709.0,1794.0,819.0,Tree,0.10750620067119598,"POLYGON ((1794 709, 1794 819, 1664 819, 1664 709, 1794 709))"
1796.0,1574.0,2067.0,1856.0,Tree,0.10312028974294662,"POLYGON ((2067 1574, 2067 1856, 1796 1856, 1796 1574, 2067 1574))"
262.0,926.0,634.0,1315.0,Tree,0.10264194011688232,"POLYGON ((634 926, 634 1315, 262 1315, 262 926, 634 926))"
20.0,1583.0,294.0,1856.0,Tree,0.100876584649086,"POLYGON ((294 1583, 294 1856, 20 1856, 20 1583, 294 1583))"
441.0,302.0,591.0,437.0,Tree,0.10048447549343109,"POLYGON ((591 302, 591 437, 441 437, 441 302, 591 302))"
85.0,1008.0,217.0,1135.0,Tree,0.1004706397652626,"POLYGON ((217 1008, 217 1135, 85 1135, 85 1008, 217 1008))"
